Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
233, 779,     779.336,       5.019,    1186.336,   2.358E-02,   2.768E-02,   8.376E-03,   4.135E-22
234, 782,     781.843,       5.025,    1180.501,   2.328E-02,   2.768E-02,   7.962E-03,   4.361E-22
235, 784,     784.350,       5.024,    1176.171,   2.298E-02,   2.768E-02,   7.054E-03,   4.865E-22
236, 787,     786.855,       5.015,    1172.823,   2.269E-02,   2.767E-02,   6.138E-03,   6.189E-22
237, 789,     789.367,       5.025,    1164.703,   2.240E-02,   2.767E-02,   5.442E-03,   8.417E-22
238, 792,     791.865,       5.012,    1145.538,   2.212E-02,   2.766E-02,   4.902E-03,   7.862E-22
239, 794,     794.382,       5.028,    1132.717,   2.184E-02,   2.766E-02,   4.449E-03,   4.480E-22
240, 797,     796.881,       5.016,    1135.958,   2.157E-02,   2.766E-02,   4.129E-03,   2.892E-22
241, 799,     799.394,       5.052,    1134.483,   2.130E-02,   2.765E-02,   3.943E-03,   3.144E-22
242, 802,     801.901,       5.015,    1124.942,   2.104E-02,   2.765E-02,   3.847E-03,   3.324E-22
243, 804,     804.409,       5.028,    1115.753,   2.078E-02,   2.765E-02,   3.891E-03,   2.311E-22
244, 807,     806.913,       5.034,    1106.938,   2.052E-02,   2.764E-02,   4.170E-03,   1.138E-22
245, 809,     809.428,       5.036,    1102.099,   2.027E-02,   2.764E-02,   4.692E-03,   9.683E-23
246, 812,     811.932,       5.004,    1102.377,   2.003E-02,   2.764E-02,   5.313E-03,   1.269E-22
247, 814,     814.440,       5.017,    1099.475,   1.979E-02,   2.763E-02,   5.835E-03,   1.403E-22
